Stable ID	Sphinx	DocC
ID104	closures-closuresarereferencetypes	Closures-Are-Reference-Types
ID105	LanguageGuide/CollectionTypes	
ID106	collectiontypes-mutabilityofcollections	Mutability-of-Collections
ID107	collectiontypes-arrays	Arrays
ID108	collectiontypes-arraytypeshorthandsyntax	Array-Type-Shorthand-Syntax
ID109	collectiontypes-arrayliterals	
ID110	collectiontypes-accessingandmodifyinganarray	Accessing-and-Modifying-an-Array
ID111	collectiontypes-iteratingoveranarray	Iterating-Over-an-Array
ID112	collectiontypes-creatingandinitializinganarray	
ID113	collectiontypes-dictionaries	Dictionaries
ID114	collectiontypes-dictionarytypeshorthandsyntax	Dictionary-Type-Shorthand-Syntax
ID115	collectiontypes-dictionaryliterals	
ID116	collectiontypes-accessingandmodifyingadictionary	Accessing-and-Modifying-a-Dictionary
ID117	collectiontypes-iteratingoveradictionary	Iterating-Over-a-Dictionary
ID118	collectiontypes-creatinganemptydictionary	Creating-an-Empty-Dictionary
ID119	collectiontypes-hashvaluesfordictionarykeytypes	
ID120	LanguageGuide/ControlFlow	
ID121	controlflow-forloops	
ID122	controlflow-forin	
ID123	controlflow-forconditionincrement	
ID124	controlflow-whileloops	While-Loops
ID125	controlflow-while	While
ID126	controlflow-dowhile	
ID127	controlflow-conditionalstatements	Conditional-Statements
ID128	controlflow-if	If
ID129	controlflow-switch	Switch
ID130	controlflow-noimplicitfallthrough	No-Implicit-Fallthrough
ID131	controlflow-rangematching	
ID132	controlflow-tuples	Tuples
ID133	controlflow-valuebindings	Value-Bindings
ID134	controlflow-where	Where
ID135	controlflow-controltransferstatements	Control-Transfer-Statements
ID136	controlflow-continue	Continue
ID137	controlflow-break	Break
ID138	controlflow-breakinaloop	
ID139	controlflow-breakinaswitchstatement	Break-in-a-Switch-Statement
ID140	controlflow-fallthrough	Fallthrough
ID141	controlflow-labeledstatements	Labeled-Statements
ID142	LanguageGuide/Deinitialization	
ID143	deinitialization-howdeinitializationworks	How-Deinitialization-Works
ID144	deinitialization-deinitializersinaction	Deinitializers-in-Action
ID145	LanguageGuide/Enumerations	
ID146	enumerations-enumerationsyntax	Enumeration-Syntax
ID147	enumerations-matchingenumerationvalueswithaswitchstatement	Matching-Enumeration-Values-with-a-Switch-Statement
ID148	enumerations-associatedvalues	Associated-Values
ID149	enumerations-rawvalues	Raw-Values
ID150	enumerations-initializingfromarawvalue	Initializing-from-a-Raw-Value
ID151	LanguageGuide/Extensions	
ID152	extensions-computedproperties	Computed-Properties
ID153	extensions-initializers	Initializers
ID154	extensions-methods	Methods
ID155	extensions-mutatinginstancemethods	Mutating-Instance-Methods
ID156	extensions-subscripts	Subscripts
ID157	extensions-nestedtypes	Nested-Types
ID158	LanguageGuide/Functions	
ID159	functions-definingandcallingfunctions	Defining-and-Calling-Functions
ID160	functions-functionparametersandreturnvalues	Function-Parameters-and-Return-Values
ID162	functions-functionswithoutparameters	Functions-Without-Parameters
ID163	functions-functionswithoutreturnvalues	Functions-Without-Return-Values
ID164	functions-functionswithmultiplereturnvalues	Functions-with-Multiple-Return-Values
ID165	functions-optionaltuplereturntypes	Optional-Tuple-Return-Types
ID166	functions-functionparameternames	
ID167	functions-externalparameternames	
ID168	functions-shorthandexternalparameternames	
ID169	functions-defaultparametervalues	Default-Parameter-Values
ID170	functions-externalnamesforparameterswithdefaultvalues	
ID171	functions-variadicparameters	Variadic-Parameters
ID172	functions-constantandvariableparameters	
ID173	functions-inoutparameters	In-Out-Parameters
ID174	functions-functiontypes	Function-Types
ID175	functions-usingfunctiontypes	Using-Function-Types
ID176	functions-functiontypesasparametertypes	Function-Types-as-Parameter-Types
ID177	functions-functiontypesasreturntypes	Function-Types-as-Return-Types
ID178	functions-nestedfunctions	Nested-Functions
ID179	LanguageGuide/Generics	
ID180	generics-theproblemthatgenericssolve	The-Problem-That-Generics-Solve
ID181	generics-genericfunctions	Generic-Functions
ID182	generics-typeparameters	Type-Parameters
ID183	generics-namingtypeparameters	Naming-Type-Parameters
ID184	generics-generictypes	Generic-Types
ID185	generics-extendingagenerictype	Extending-a-Generic-Type
ID186	generics-typeconstraints	Type-Constraints
ID187	generics-typeconstraintsyntax	Type-Constraint-Syntax
ID188	generics-typeconstraintsinaction	Type-Constraints-in-Action
ID189	generics-associatedtypes	Associated-Types
ID190	generics-associatedtypesinaction	Associated-Types-in-Action
ID191	generics-extendinganexistingtypetospecifyanassociatedtype	Extending-an-Existing-Type-to-Specify-an-Associated-Type
ID192	generics-whereclauses	
ID193	LanguageGuide/Inheritance	
